t_sec,sabd_deg_abs,sabd_deg_zeroed,sabd_vel_deg_s,sabd_trq_Nm
1.726655,-5.3985239840602,-1.2752199624437948,-0.0049591397616541326,-8.047961235046387
1.733735,-5.398452741570166,-1.2751487199537603,0.010062726415940899,-8.121331214904785
1.741853,-5.398424866530316,-1.2751208449139106,0.0034336678749401664,-8.215662956237793
1.74964,-5.398835245186703,-1.2755312235702974,-0.0527005554023885,-8.121331214904785
1.758088,-5.3993791261589585,-1.276075104542553,-0.06438072241851789,-8.006035804748535
1.765301,-5.399588556061217,-1.2762845344448115,-0.029034596310001635,-7.890740394592285
1.772192,-5.399753027748567,-1.276449006132161,-0.0238675658629404,-7.890740394592285
1.779975,-5.400297991535345,-1.276993969918939,-0.07002033423410993,-7.869777679443359
1.787756,-5.401347262208002,-1.2780432405915967,-0.13484986454868472,-7.838332653045654
1.79602,-5.402231977550756,-1.2789279559343507,-0.10705571233554295,-7.838332653045654
1.802986,-5.403172632353424,-1.2798686107370187,-0.135037553528758,-7.660149574279785
1.810695,-5.403796445621402,-1.2804924240049962,-0.08091985170813622,-7.712555885314941
1.817628,-5.4043226302616025,-1.281018608645197,-0.0758959503811136,-7.70207405090332
1.82529,-5.405075485651995,-1.2817714640355895,-0.09825759639497339,-7.628705024719238
1.832488,-5.405854964372577,-1.2825509427561714,-0.10828958019448383,-7.607741832733154
1.839471,-5.40647510858558,-1.2831710869691744,-0.08880717515705808,-7.607741832733154
1.847211,-5.406813105026767,-1.2835090834103617,-0.043668673769651216,-7.272336483001709
1.854078,-5.406962347375724,-1.2836583257593182,-0.021733483133021307,-7.230411052703857
1.861989,-5.4073186972099645,-1.2840146755935589,-0.045045041896119686,-7.32474422454834
1.868623,-5.407881762901999,-1.2845777412855934,-0.0848757838046133,-7.198967933654785
1.876433,-5.408558358128602,-1.285254336512196,-0.08663327121897837,-7.073189735412598
1.883528,-5.408827409951092,-1.2855233883346866,-0.037920801615632105,-7.073189735412598
1.892124,-5.40885042703796,-1.2855464054215542,-0.002677668483858928,-7.12559700012207
1.899217,-5.408832586822336,-1.2855285652059303,0.002515202949653153,-7.12559700012207
1.906204,-5.409015956770862,-1.2857119351544561,-0.02624409024028524,-7.062708854675293
1.91404,-5.4093256085167924,-1.2860215869003868,-0.039516036041135585,-7.041746139526367
1.920814,-5.409482125059456,-1.2861781034430502,-0.023105658206359174,-6.842598915100098
1.928193,-5.4094137487642975,-1.2861097271478918,0.00926626714984608,-6.727303504943848
1.935013,-5.40936170403002,-1.286057682413614,0.0076312336011265065,-6.77971076965332
1.942601,-5.409561711562575,-1.2862576899461695,-0.026358712808000954,-6.821636199951172
1.949462,-5.4100676273236665,-1.286763605707261,-0.07373821108554122,-6.706340789794922
1.958049,-5.410721931582198,-1.287417909965792,-0.07619598991516251,-6.528156757354736
1.965411,-5.411039921625719,-1.287735900009313,-0.043192684720996445,-6.444305896759033
1.972378,-5.410925144526997,-1.2876211229105916,0.016474797038952268,-6.486230850219727
1.980253,-5.410639530162611,-1.2873355085462057,0.03626864883443045,-6.5071940422058105
1.987107,-5.4104998804735525,-1.2871958588571468,0.020374747788313535,-6.538638114929199
1.996208,-5.410437116385899,-1.2871330947694934,0.006896279147588919,-6.475749969482422
2.003166,-5.410299190877547,-1.2869951692611412,0.01982323652070732,-6.339491367340088
2.012272,-5.409955146834546,-1.2866511252181407,0.037781465825341275,-6.308047294616699
2.019025,-5.409648516222732,-1.2863444946063263,0.045408396061711216,-6.318528175354004
2.026558,-5.409477051081415,-1.2861730294650098,0.02276164476782959,-6.339491367340088
2.033525,-5.409544261697316,-1.28624024008091,-0.00964690148221048,-6.2661213874816895
2.04094,-5.40967148085611,-1.2863674592397043,-0.017156870409543022,-6.161307334899902
2.047892,-5.409638064589444,-1.2863340429730385,0.0048066799595746085,-6.108900547027588
2.054896,-5.409511383577826,-1.28620736196142,0.018086893615941946,-6.056493759155273
2.062563,-5.4095062744670726,-1.286202252850667,0.0006663711570466037,-6.1298627853393555
2.069263,-5.409757269252709,-1.2864532476363033,-0.03746169074705959,-6.108900547027588
2.077223,-5.410142337214998,-1.286838315598592,-0.04837777728020422,-6.035530090332031
2.084047,-5.410252541528596,-1.2869485199121904,-0.01614891497546287,-5.983123302459717
2.091802,-5.410209819881755,-1.2869057982653498,0.0055088872084770955,-5.857346534729004
2.09886,-5.410078284542289,-1.2867742629258831,0.01863659765788181,-5.836383819580078
2.105953,-5.409970184214037,-1.2866661625976317,0.015240525686941227,-5.836383819580078
2.113495,-5.4100876572356995,-1.2867836356192939,-0.015575569471134853,-5.804939270019531
2.12052,-5.410442163040705,-1.2871381414242995,-0.05046514784001844,-5.689643859863281
2.129603,-5.4107987859619255,-1.28749476434552,-0.03926150834601384,-5.542903900146484
2.13633,-5.410952914131227,-1.287648892514821,-0.022912752428316856,-5.49049711227417
2.145342,-5.410992616096322,-1.2876885944799161,-0.004405463398663486,-5.542903900146484
2.152185,-5.411017429506652,-1.2877134078902461,-0.0036259271226275888,-5.584830284118652
2.159458,-5.411107018429246,-1.2878029968128404,-0.012318084785863428,-5.542903900146484
2.16639,-5.411242633751787,-1.287938612135381,-0.019564280449670627,-5.64771842956543
2.174892,-5.411180887197895,-1.287876865581489,0.007262586034098938,-5.595311164855957
2.182356,-5.411136976263611,-1.2878329546472056,0.005883083348508453,-5.595311164855957
2.189089,-5.410976456313322,-1.2876724346969164,0.02384014268538009,-5.574347972869873
2.19662,-5.410691115186656,-1.28738709357025,0.03788924016022828,-5.605792999267578
2.203336,-5.410672355550315,-1.2873683339339097,0.002793269826435781,-5.53242301940918
2.21243,-5.4107339873000235,-1.287429965683618,-0.00677718832624764,-5.41712760925293
2.219374,-5.4106415085480855,-1.2873374869316798,0.013317448299418829,-5.385683059692383
2.226925,-5.410419775801979,-1.2871157541855736,0.029364861984922507,-5.312313079833984
2.233883,-5.410186404481562,-1.2868823828651568,0.03353996240095289,-5.18653678894043
2.242193,-5.409927478866861,-1.2866234572504558,0.031158912648269057,-5.081722259521484
2.249156,-5.409782330600624,-1.2864783089842184,0.020845607042368746,-5.10268497467041
2.256018,-5.4097945675488255,-1.2864905459324198,-0.001783311239670135,-5.008352279663086
2.263531,-5.409805407178392,-1.2865013855619862,-0.0014427742335872545,-4.914019584655762
2.270014,-5.409751202154239,-1.2864471805378335,0.008361001383643636,-4.966426849365234
2.279292,-5.4095671429437475,-1.2862631213273419,0.01983862575941018,-5.029314994812012
2.286301,-5.409420137910894,-1.2861161162944885,0.020973664783896805,-4.997870922088623
2.29369,-5.409156342340793,-1.2858523207243877,0.03569963588087994,-4.94546365737915
2.300458,-5.408636072580128,-1.2853320509637225,0.07687485162534892,-5.029314994812012
2.309192,-5.4077544300593985,-1.2844504084429929,0.10094386895057517,-5.0502777099609375
2.316694,-5.40714158048555,-1.283837558869144,0.08169063176103313,-4.976908206939697
2.325269,-5.406706339970201,-1.2834023183537955,0.05075713269444005,-4.903538227081299
2.332649,-5.406367785899759,-1.2830637642833533,0.04587448122606973,-4.893056869506836
2.339418,-5.4062079824500024,-1.2829039608335968,0.023607503822470642,-4.809205532073975
2.346862,-5.406169687820675,-1.2828656662042697,0.005144427549975708,-4.693910121917725
2.353971,-5.406173226268793,-1.2828692046523873,-0.0004977471607989275,-4.704391002655029
2.361696,-5.406176320445987,-1.2828722988295818,-0.0004005407173680816,-4.620540142059326
2.368153,-5.4061475859066634,-1.2828435642902578,0.004450075443067495,-4.526207447052002
2.375794,-5.406120165663801,-1.2828161440473957,0.0035886431077548223,-4.5995774269104
2.382332,-5.40619431752658,-1.2828902959101747,-0.011341822429476373,-4.5681328773498535
